anchor_type,page_detail,anchor_tag,anchor_link,sequence
Category,/womens-clothing/sarees/,saree,/womens-clothing/sarees/,0
Category,home-decor/clocks,clocks,home-decor/clocks,0
Category,/womens-clothing/salwar-suits/,Salwar Kameez,/cvfeeds/salwar-kameez,0
Category,/womens-clothing/,Saree collection,http://www.craftsvilla.com/womens-clothing/sarees/,0
Category,/womens-clothing/,Bridal sarees,/womens-clothing/sarees/wedding-sarees/,0
Category,/womens-clothing/,Designer Sarees,/womens-clothing/sarees/designer-sarees/,0
Category,/womens-clothing/,lehenga sarees,/womens-clothing/sarees/wedding-sarees/,0
Category,/womens-clothing/,silk sarees,/womens-clothing/sarees/silk-sarees/,0
Category,/womens-clothing/,Latest Salwar suits,/womens-clothing/salwar-suits/,0
Category,/womens-clothing/,Anarkali Suits,/womens-clothing/salwar-suits/,0
Category,/womens-clothing/,punjabi suits,/searchresults?searchby=product,0
Category,/womens-clothing/,pakistani suits,/cvfeeds/pakistani-salwar-suits.html,0
Category,/womens-clothing/,Patiala Suits,/searchresults?searchby=product,0
Category,/womens-clothing/,Latest Dresses,/womens-clothing/,0
Category,/womens-clothing/,designer dresses,/womens-clothing/,0
Category,/womens-clothing/,dress material,/clothing/dress-material.html,0
Category,/womens-clothing/,unstitched suits,/clothing/dress-material.html,0
Category,/womens-clothing/,Latest Lehengas,/womens-clothing/lehangas/,0
Category,/womens-clothing/,Casual dresses,/womens-clothing/gowns/casual-dresses/,0
Category,/womens-clothing/,Bridal Lehenga,/womens-clothing/lehangas/,0
Category,/womens-clothing/,Designer Lehenga,/womens-clothing/lehangas/,0
Category,/womens-clothing/,Ghagra Choli,/womens-clothing/lehangas/,0
Category,/womens-clothing/,Wedding Lehengas,/womens-clothing/lehangas/,0
Category,/womens-clothing/,Latest Kurtis,/womens-clothing/kurtis-tunics/kurtis/,0
Category,/womens-clothing/,Designer Kurtis,/womens-clothing/kurtis-tunics/kurtis/,0
Category,/womens-clothing/,Long Kurtis,/womens-clothing/kurtis-tunics/kurtis/,0
Category,/womens-clothing/,Cotton Kurtis,/womens-clothing/kurtis-tunics/kurtis/,0
Category,/womens-clothing/,Pakistani Kurtis,/searchresults?searchby=product,0
Category,/womens-clothing/,Palazzo Pants,/womens-clothing/palazzos/,0
Category,/womens-clothing/,Latest Blouses,womens-clothing/blouses/,0
Category,/womens-clothing/,Latest Gowns,/womens-clothing/gowns/,0
Category,/womens-clothing/,Kaftans,/clothing/kaftans.html,0
Category,/womens-clothing/,Leggings,/clothing/Legging.html,0
Category,/womens-clothing/banarasi-sarees/,Banarasi Silk Sarees,/womens-clothing/sarees/banarasi-sarees/,0
Category,/womens-clothing/banarasi-sarees/,Designer Kanjivaram Saree,/womens-clothing/sarees/kanchivaram-sarees/,0
Category,/womens-clothing/banarasi-sarees/,Pure Chiffon Sarees,/womens-clothing/sarees/chiffon-sarees/,0
Category,/womens-clothing/banarasi-sarees/,Pure Cotton Sarees,/womens-clothing/sarees/cotton-sarees/,0
Category,/womens-clothing/banarasi-sarees/,Fashionable Designer Saree,/womens-clothing/sarees/designer-sarees/,0
Category,/womens-clothing/banarasi-sarees/,Trendy Half Sarees,/womens-clothing/sarees/half-sarees/,0
Category,/womens-clothing/banarasi-sarees/,Handwoven Silk Sarees,/womens-clothing/sarees/handwoven-Sarees/,0
Category,/womens-clothing/banarasi-sarees/,Net Jacquard Saree,/womens-clothing/sarees/jacquard-sarees/,0
Category,/womens-clothing/banarasi-sarees/,Lehariya Sarees Rajasthani,/womens-clothing/sarees/lehariya/,0
Category,/womens-clothing/banarasi-sarees/,Net Saree Design,/womens-clothing/sarees/net-sarees/,0
Category,/womens-clothing/banarasi-sarees/,Paithani Silk Sarees,/womens-clothing/sarees/paithani-sarees/,0
Category,/womens-clothing/banarasi-sarees/,Satin Silk Sarees,/womens-clothing/sarees/satin-sarees/,0
Category,/womens-clothing/banarasi-sarees/,Chennai Silks,/womens-clothing/sarees/silk-sarees/,0
Category,/womens-clothing/banarasi-sarees/,Uppada Pattu Sarees,/womens-clothing/sarees/uppada-sarees/,0
Category,/womens-clothing/banarasi-sarees/,Work Sarees,/womens-clothing/sarees/heavy-work/,0
Category,/womens-clothing/banarasi-sarees/,Bandhani Sarees Collection,/womens-clothing/sarees/bandhani-sarees/,0
Category,/womens-clothing/banarasi-sarees/,Cotton Silk Designer Sarees,/womens-clothing/sarees/cotton-silk-sarees/,0
Category,/womens-clothing/banarasi-sarees/,Bollywood Replica Sarees,/womens-clothing/sarees/bollywood-sarees/,0
Category,/womens-clothing/banarasi-sarees/,Designer Sarees For Bride,/womens-clothing/sarees/designer-sarees/,0
Category,/womens-clothing/banarasi-sarees/,Bridal Saree Designs,/womens-clothing/sarees/wedding-sarees/,0
Category,/womens-clothing/sarees/bandhani-sarees/,Designer Banarasi Saree,/womens-clothing/sarees/banarasi-sarees/,0
Category,/womens-clothing/sarees/bandhani-sarees/,Kanchipuram Silk Sarees,/womens-clothing/sarees/kanchivaram-sarees/,0
Category,/womens-clothing/sarees/bandhani-sarees/,Plain Chiffon Sarees,/womens-clothing/sarees/chiffon-sarees/,0
Category,/womens-clothing/sarees/bandhani-sarees/,Cotton Sarees With Price,/womens-clothing/sarees/cotton-sarees/,0
Category,/womens-clothing/sarees/bandhani-sarees/,Latest Designer Sarees,/womens-clothing/sarees/designer-sarees/,0
Category,/womens-clothing/sarees/bandhani-sarees/,Half Saree Designs,/womens-clothing/sarees/half-sarees/,0
Category,/womens-clothing/sarees/bandhani-sarees/,Jacquard Silk Saree,/womens-clothing/sarees/jacquard-sarees/,0
Category,/womens-clothing/sarees/bandhani-sarees/,Designer Lehariya Saree,/womens-clothing/sarees/lehariya/,0
Category,/womens-clothing/sarees/bandhani-sarees/,Designer Net Sarees,/womens-clothing/sarees/net-sarees/,0
Category,/womens-clothing/sarees/bandhani-sarees/,Paithani Sarees Colours,/womens-clothing/sarees/paithani-sarees/,0
Category,/womens-clothing/sarees/bandhani-sarees/,Plain Satin Sarees,/womens-clothing/sarees/satin-sarees/,0
Category,/womens-clothing/sarees/bandhani-sarees/,Pattu Sarees,/womens-clothing/sarees/silk-sarees/,0
Category,/womens-clothing/sarees/bandhani-sarees/,Uppada Silk Sarees,/womens-clothing/sarees/uppada-sarees/,0
Category,/womens-clothing/sarees/bandhani-sarees/,Stone Work Sarees,/womens-clothing/sarees/heavy-work/,0
Category,/womens-clothing/sarees/bandhani-sarees/,Bandhani Silk Sarees,/womens-clothing/sarees/bandhani-sarees/,0
Category,/womens-clothing/sarees/bandhani-sarees/,Lehenga Saree,/womens-clothing/sarees/wedding-sarees/,0
Category,/womens-clothing/sarees/bandhani-sarees/,Wedding Saree Collection,/womens-clothing/sarees/wedding-sarees/,0
Category,/womens-clothing/sarees/bandhani-sarees/,Replica Sarees,/womens-clothing/sarees/bollywood-sarees/,0
Category,/womens-clothing/sarees/bandhani-sarees/,Designer Bridal Sarees,/womens-clothing/sarees/designer-sarees/,0
Category,/womens-clothing/sarees/cotton-sarees/,Banarasi Cotton Sarees,/womens-clothing/sarees/banarasi-sarees/,0
Category,/womens-clothing/sarees/cotton-sarees/,Latest Kanjivaram Saree,/womens-clothing/sarees/kanchivaram-sarees/,0
Category,/womens-clothing/sarees/cotton-sarees/,Designer Chiffon Sarees,/womens-clothing/sarees/chiffon-sarees/,0
Category,/womens-clothing/sarees/cotton-sarees/,Cotton Sarees Below 500,/womens-clothing/sarees/cotton-sarees/,0
Category,/womens-clothing/sarees/cotton-sarees/,Bollywood Designer Sarees,/womens-clothing/sarees/designer-sarees/,0
Category,/womens-clothing/sarees/cotton-sarees/,Designer Half Sarees,/womens-clothing/sarees/half-sarees/,0
Category,/womens-clothing/sarees/cotton-sarees/,Crepe Jacquard Saree,/womens-clothing/sarees/Jacquard-sarees/,0
Category,/womens-clothing/sarees/cotton-sarees/,Lehariya Sarees Jaipur,/womens-clothing/sarees/lehariya/,0
Category,/womens-clothing/sarees/cotton-sarees/,Net Saree Collection,/womens-clothing/sarees/net-sarees/,0
Category,/womens-clothing/sarees/cotton-sarees/,New Paithani Sarees,/womens-clothing/sarees/paithani-sarees/,0
Category,/womens-clothing/sarees/cotton-sarees/,Pure Satin Saree,/womens-clothing/sarees/satin-sarees/,0
Category,/womens-clothing/sarees/cotton-sarees/,Mysore Silk Sarees,/womens-clothing/sarees/silk-sarees/,0
Category,/womens-clothing/sarees/cotton-sarees/,Uppada Tissue Sarees,/womens-clothing/sarees/uppada-sarees/,0
Category,/womens-clothing/sarees/cotton-sarees/,Heavy Sarees,/womens-clothing/sarees/heavy-work/,0
Category,/womens-clothing/sarees/cotton-sarees/,Gujarati Bandhani Sarees,/womens-clothing/sarees/bandhani-sarees/,0
Category,/womens-clothing/sarees/cotton-sarees/,Indian Wedding Sarees,/womens-clothing/sarees/wedding-sarees/,0
Category,/womens-clothing/sarees/cotton-sarees/,Bollywood Sarees For Sale,/womens-clothing/sarees/Bollywood-sarees/,0
Category,/womens-clothing/sarees/cotton-silk-sarees/,Pure Banarasi Silk Sarees,/womens-clothing/sarees/banarasi-sarees/,0
Category,/womens-clothing/sarees/cotton-silk-sarees/,Kanjeevaram Silk Sarees,/womens-clothing/sarees/kanchivaram-sarees/,0
Category,/womens-clothing/sarees/cotton-silk-sarees/,Chiffon Printed Sarees,/womens-clothing/sarees/chiffon-sarees/,0
Category,/womens-clothing/sarees/cotton-silk-sarees/,Handloom Cotton Sarees,/womens-clothing/sarees/cotton-sarees/,0
Category,/womens-clothing/sarees/cotton-silk-sarees/,Designer Sarees For Wedding,/womens-clothing/sarees/designer-sarees/,0
Category,/womens-clothing/sarees/cotton-silk-sarees/,Jacquard Saree Designs,/womens-clothing/sarees/jacquard-sarees/,0
Category,/womens-clothing/sarees/cotton-silk-sarees/,Lehariya Saree Designs,/womens-clothing/sarees/lehariya/,0
Category,/womens-clothing/sarees/cotton-silk-sarees/,Half Net Saree,/womens-clothing/sarees/net-sarees/,0
Category,/womens-clothing/sarees/cotton-silk-sarees/,Paithani Sarees Collection,/womens-clothing/sarees/paithani-sarees/,0
Category,/womens-clothing/sarees/cotton-silk-sarees/,Silk Saree,/womens-clothing/sarees/silk-sarees/,0
Category,/womens-clothing/sarees/cotton-silk-sarees/,Uppada Cotton Sarees,/womens-clothing/sarees/uppada-sarees/,0
Category,/womens-clothing/sarees/cotton-silk-sarees/,Cut Work Sarees,/womens-clothing/sarees/heavy-work/,0
Category,/womens-clothing/sarees/cotton-silk-sarees/,Designer Bandhani Silk Saree,/womens-clothing/sarees/bandhani-sarees/,0
Category,/womens-clothing/sarees/cotton-silk-sarees/,Sarees For Wedding,/womens-clothing/sarees/wedding-sarees/,0
Category,/womens-clothing/sarees/cotton-silk-sarees/,Bollywood Saree Collection,/womens-clothing/sarees/bollywood-sarees/,0
Category,/womens-clothing/sarees/designer-sarees/,Banarasi Georgette Sarees,/womens-clothing/sarees/banarasi-sarees/,0
Category,/womens-clothing/sarees/designer-sarees/,Kanjivaram Saree Designs,/womens-clothing/sarees/kanchivaram-sarees/,0
Category,/womens-clothing/sarees/designer-sarees/,Designer Cotton Sarees,/womens-clothing/sarees/cotton-sarees/,0
Category,/womens-clothing/sarees/designer-sarees/,New Designer Saree,/womens-clothing/sarees/designer-sarees/,0
Category,/womens-clothing/sarees/designer-sarees/,Half Saree Models,/womens-clothing/sarees/half-sarees/,0
Category,/womens-clothing/sarees/designer-sarees/,Jacquard Saree Collection,/womens-clothing/sarees/jacquard-sarees/,0
Category,/womens-clothing/sarees/designer-sarees/,Rajasthani Lehariya Sarees,/womens-clothing/sarees/lehariya/,0
Category,/womens-clothing/sarees/designer-sarees/,Party Wear Net Sarees,/womens-clothing/sarees/net-sarees/,0
Category,/womens-clothing/sarees/designer-sarees/,Pure Silk Sarees,/womens-clothing/sarees/silk-sarees/,0
Category,/womens-clothing/sarees/designer-sarees/,Latest Uppada Sarees,/womens-clothing/sarees/uppada-sarees/,0
Category,/womens-clothing/sarees/designer-sarees/,Kundan Work Sarees,/womens-clothing/sarees/heavy-work/,0
Category,/womens-clothing/sarees/designer-sarees/,Bandhani Cotton Sarees,/womens-clothing/sarees/bandhani-sarees/,0
Category,/womens-clothing/sarees/designer-sarees/,Latest Bollywood Sarees,/womens-clothing/sarees/bollywood-sarees/,0
Category,/womens-clothing/sarees/designer-sarees/,Designer Wedding Sarees,/womens-clothing/sarees/wedding-sarees/,0
Category,/womens-clothing/sarees/georgette-sarees/,Latest Banarasi Sarees Designs,/womens-clothing/sarees/banarasi-sarees/,0
Category,/womens-clothing/sarees/georgette-sarees/,New Kanchipuram Saree,/womens-clothing/sarees/kanchivaram-sarees/,0
Category,/womens-clothing/sarees/georgette-sarees/,Latest Chiffon Sarees,/womens-clothing/sarees/chiffon-sarees/,0
Category,/womens-clothing/sarees/georgette-sarees/,South Cotton Sarees,/womens-clothing/sarees/cotton-sarees/,0
Category,/womens-clothing/sarees/georgette-sarees/,Designer Sarees Collection,/womens-clothing/sarees/designer-sarees/,0
Category,/womens-clothing/sarees/georgette-sarees/,Half Saree Collections,/womens-clothing/sarees/half-sarees/,0
Category,/womens-clothing/sarees/georgette-sarees/,Banarasi Jacquard Saree,/womens-clothing/sarees/jacquard-sarees/,0
Category,/womens-clothing/sarees/georgette-sarees/,Super Net Sarees,/womens-clothing/sarees/net-sarees/,0
Category,/womens-clothing/sarees/georgette-sarees/,Tussar Silk Sarees,/searchresults?searchby=product,0
Category,/womens-clothing/sarees/georgette-sarees/,Uppada Sarees For Sale,/womens-clothing/sarees/uppada-sarees/,0
Category,/womens-clothing/sarees/georgette-sarees/,Saree Work Designs,/womens-clothing/sarees/heavy-work/,0
Category,/womens-clothing/sarees/georgette-sarees/,Rajasthani Sarees Bandhani,/womens-clothing/sarees/bandhani-sarees/,0
Category,/womens-clothing/sarees/georgette-sarees/,South Indian Wedding Sarees,/womens-clothing/sarees/wedding-sarees/,0
Category,/womens-clothing/sarees/georgette-sarees/,Bollywood Style Saree,/buy-bollywood-sarees-online/,0
Category,/womens-clothing/sarees/handwoven-sarees/,Banarasi Saree Designs,/womens-clothing/sarees/banarasi-sarees/,0
Category,/womens-clothing/sarees/handwoven-sarees/,Pure Kanchipuram Silk Sarees,/womens-clothing/sarees/kanchivaram-sarees/,0
Category,/womens-clothing/sarees/handwoven-sarees/,Chiffon Silk Sarees,/womens-clothing/sarees/chiffon-sarees/,0
Category,/womens-clothing/sarees/handwoven-sarees/,Latest Cotton Sarees,/womens-clothing/sarees/cotton-sarees/,0
Category,/womens-clothing/sarees/handwoven-sarees/,Best Designer Sarees,/womens-clothing/sarees/,0
Category,/womens-clothing/sarees/handwoven-sarees/,Party Wear Half Sarees,/womens-clothing/sarees/half-sarees/,0
Category,/womens-clothing/sarees/handwoven-sarees/,Georgette Jacquard Saree,/womens-clothing/sarees/jacquard-sarees/,0
Category,/womens-clothing/sarees/handwoven-sarees/,Latest Net Sarees,/womens-clothing/sarees/net-sarees/,0
Category,/womens-clothing/sarees/handwoven-sarees/,Soft Silk Sarees,/womens-clothing/sarees/kanchivaram-sarees/,0
Category,/womens-clothing/sarees/handwoven-sarees/,Stone Work Saree,/womens-clothing/sarees/heavy-work/,0
Category,/womens-clothing/sarees/handwoven-sarees/,Latest Bandhani Sarees Collection,/womens-clothing/sarees/bandhani-sarees/,0
Category,/womens-clothing/sarees/handwoven-sarees/,Saree Design For Wedding,/womens-clothing/sarees/wedding-sarees/,0
Category,/womens-clothing/sarees/handwoven-sarees/,Bollywood Actress In Saree,/womens-clothing/sarees/bollywood-sarees/,0
Category,/womens-clothing/sarees/heavy-work/,Banarasi Silk,/womens-clothing/sarees/banarasi-sarees/,0
Category,/womens-clothing/sarees/heavy-work/,Traditional Kanchipuram Sarees,/womens-clothing/sarees/kanchivaram-sarees/,0
Category,/womens-clothing/sarees/heavy-work/,Chiffon Saree Designs,/womens-clothing/sarees/chiffon-sarees/,0
Category,/womens-clothing/sarees/heavy-work/,Kanchi Cotton Sarees,/womens-clothing/sarees/cotton-sarees/,0
Category,/womens-clothing/sarees/heavy-work/,Indian Designer Sarees,/womens-clothing/sarees/,0
Category,/womens-clothing/sarees/heavy-work/,Latest Half Sarees,/womens-clothing/sarees/half-sarees/,0
Category,/womens-clothing/sarees/heavy-work/,Jacquard Sarees Price,/womens-clothing/sarees/jacquard-sarees/,0
Category,/womens-clothing/sarees/heavy-work/,Net Saree Price,/womens-clothing/sarees/net-sarees/,0
Category,/womens-clothing/sarees/heavy-work/,Kanchi Pattu Sarees,/womens-clothing/sarees/silk-sarees/,0
Category,/womens-clothing/sarees/heavy-work/,Uppada Saree Collection,/womens-clothing/sarees/uppada-sarees/,0
Category,/womens-clothing/sarees/heavy-work/,Hand Work Sarees,/womens-clothing/sarees/heavy-work/,0
Category,/womens-clothing/sarees/heavy-work/,Bandhani Design,/womens-clothing/sarees/bandhani-sarees/,0
Category,/womens-clothing/sarees/heavy-work/,Bridal Saree Collection,/womens-clothing/sarees/wedding-sarees/,0
Category,/womens-clothing/sarees/heavy-work/,Designer Bollywood Sarees,/womens-clothing/sarees/bollywood-sarees/,0
Category,/womens-clothing/sarees/jacquard-sarees/,Latest Banarasi Silk Saree,/womens-clothing/sarees/banarasi-sarees/,0
Category,/womens-clothing/sarees/jacquard-sarees/,Pure Kanjivaram Sarees,/womens-clothing/sarees/kanchivaram-sarees/,0
Category,/womens-clothing/sarees/jacquard-sarees/,Best Chiffon Sarees,/womens-clothing/sarees/chiffon-sarees/,0
Category,/womens-clothing/sarees/jacquard-sarees/,Soft Cotton Sarees,/womens-clothing/sarees/cotton-sarees/,0
Category,/womens-clothing/sarees/jacquard-sarees/,Saree Designer,/womens-clothing/sarees/designer-sarees/,0
Category,/womens-clothing/sarees/jacquard-sarees/,Traditional Half Saree,/womens-clothing/sarees/half-sarees/,0
Category,/womens-clothing/sarees/jacquard-sarees/,Net Sarees Online,/womens-clothing/sarees/net-sarees/,0
Category,/womens-clothing/sarees/jacquard-sarees/,Pattu Saree,/womens-clothing/sarees/silk-sarees/,0
Category,/womens-clothing/sarees/jacquard-sarees/,Uppada Pattu Sarees Designs,/womens-clothing/sarees/uppada-sarees/,0
Category,/womens-clothing/sarees/jacquard-sarees/,Zari Work Sarees,/womens-clothing/sarees/heavy-work/,0
Category,/womens-clothing/sarees/jacquard-sarees/,Bandhej Sarees Collections,/womens-clothing/sarees/bandhani-sarees/,0
Category,/womens-clothing/sarees/jacquard-sarees/,Latest Wedding Sarees,/womens-clothing/sarees/wedding-sarees/,0
Category,/womens-clothing/sarees/jacquard-sarees/,Bollywood Saree Designs,/womens-clothing/sarees/designer-sarees/,0
Category,/womens-clothing/sarees/kanchivaram-sarees/,Banarasi Saree Collection,/womens-clothing/sarees/banarasi-sarees/,0
Category,/womens-clothing/sarees/kanchivaram-sarees/,Pure Kanchipuram Sarees,/womens-clothing/sarees/kanchivaram-sarees/,0
Category,/womens-clothing/sarees/kanchivaram-sarees/,Chiffon Sarees Collection,/womens-clothing/sarees/chiffon-sarees/,0
Category,/womens-clothing/sarees/kanchivaram-sarees/,South Cotton Saree,/womens-clothing/sarees/cotton-sarees/,0
Category,/womens-clothing/sarees/kanchivaram-sarees/,Designer Party Wear Sarees,womens-clothing/sarees/designer-sarees/,0
Category,/womens-clothing/sarees/kanchivaram-sarees/,South Indian Half Saree,/womens-clothing/sarees/half-sarees/,0
Category,/womens-clothing/sarees/kanchivaram-sarees/,Bridal Net Sarees,/womens-clothing/sarees/net-sarees/,0
Category,/womens-clothing/sarees/kanchivaram-sarees/,Art Silk Sarees,/womens-clothing/sarees/silk-sarees/,0
Category,/womens-clothing/sarees/kanchivaram-sarees/,Designer Uppada Sarees,/searchresults?searchby=product,0
Category,/womens-clothing/sarees/kanchivaram-sarees/,Heavy Sarees For Wedding,/womens-clothing/sarees/heavy-work/,0
Category,/womens-clothing/sarees/kanchivaram-sarees/,Bandhej Saree,/womens-clothing/sarees/bandhani-sarees/,0
Category,/womens-clothing/sarees/kanchivaram-sarees/,Lehenga Saree Designs,/womens-clothing/sarees/wedding-sarees/,0
Category,/womens-clothing/sarees/chiffon-sarees/,Banarasi Saree For Wedding,/womens-clothing/sarees/banarasi-sarees/,0
Category,/womens-clothing/sarees/chiffon-sarees/,Silk Sarees Kanchipuram,/womens-clothing/sarees/silk-sarees/,0
Category,/womens-clothing/sarees/chiffon-sarees/,Bengal Cotton Sarees,/womens-clothing/sarees/cotton-sarees/,0
Category,/womens-clothing/sarees/chiffon-sarees/,Latest Designer Saree,/womens-clothing/sarees/,0
Category,/womens-clothing/sarees/chiffon-sarees/,Half Saree Sets,/womens-clothing/sarees/half-sarees/,0
Category,/womens-clothing/sarees/chiffon-sarees/,Heavy Embroidered Sarees,/womens-clothing/sarees/heavy-work/,0
Category,/womens-clothing/sarees/chiffon-sarees/,Designer Lehenga Sarees,/womens-clothing/sarees/wedding-sarees/,0
Category,/womens-clothing/sarees/chiffon-sarees/,Designer Silk Sarees,/womens-clothing/sarees/silk-sarees/,0
Category,/womens-clothing/sarees/lehariya/,South Indian Cotton Sarees Online,/womens-clothing/sarees/cotton-sarees/,0
Category,/womens-clothing/sarees/lehariya/,Half Net Sarees,/womens-clothing/sarees/half-sarees/,0
Category,/womens-clothing/sarees/lehariya/,Designer Work Sarees,/womens-clothing/sarees/heavy-work/,0
Category,/womens-clothing/sarees/lehariya/,Traditional Sarees For Wedding,/womens-clothing/sarees/wedding-sarees/,0
Category,/womens-clothing/sarees/lehariya/,Fancy Designer Sarees,/womens-clothing/sarees/designer-sarees/,0
Category,/womens-clothing/sarees/lehariya/,Printed Silk Sarees,/womens-clothing/sarees/silk-sarees/,0
Category,/womens-clothing/sarees/lehariya/,Famous Kanjivaram Silk Saree,/womens-clothing/sarees/kanchivaram-sarees/,0
Category,/womens-clothing/sarees/net-sarees/,Black Cotton Saree,/womens-clothing/sarees/cotton-sarees/,0
Category,/womens-clothing/sarees/net-sarees/,Bridal Designer Sarees,/womens-clothing/sarees/wedding-sarees/,0
Category,/womens-clothing/sarees/net-sarees/,Latest Designer Half Sarees,/womens-clothing/sarees/half-sarees/,0
Category,/womens-clothing/sarees/net-sarees/,South Silk Sarees,/womens-clothing/sarees/silk-sarees/,0
Category,/womens-clothing/sarees/net-sarees/,Hand Work Saree Designs,/womens-clothing/sarees/heavy-work/,0
Category,/womens-clothing/sarees/net-sarees/,Latest Bridal Sarees,/womens-clothing/sarees/wedding-sarees/,0
Category,/womens-clothing/sarees/satin-sarees/,Printed Cotton Sarees,/womens-clothing/sarees/cotton-sarees/,0
Category,/womens-clothing/sarees/satin-sarees/,Fashion Designer Sarees,http://www.craftsvilla.com/womens-clothing/sarees/,0
Category,/womens-clothing/sarees/satin-sarees/,Silk Half Saree,/womens-clothing/sarees/half-sarees/,0
Category,/womens-clothing/sarees/satin-sarees/,Chennai Silk,/womens-clothing/sarees/silk-sarees/,0
Category,/womens-clothing/sarees/silk-sarees/,Cotton Sarees Collection,/womens-clothing/sarees/cotton-sarees/,0
Category,/womens-clothing/sarees/silk-sarees/,Designer Wear Sarees,/womens-clothing/sarees/heavy-work/,0
Category,/womens-clothing/sarees/silk-sarees/,Modern Half Sarees,/womens-clothing/sarees/half-sarees/,0
Category,/womens-clothing/sarees/silk-sarees/,Silk Sarees For Wedding,/womens-clothing/sarees/kanchivaram-sarees/,0
Category,/womens-clothing/sarees/wedding-sarees/,New Cotton Sarees,http://www.craftsvilla.com/womens-clothing/sarees/cotton-sarees/,0
Category,/womens-clothing/sarees/wedding-sarees/,Beautiful Designer Sarees,/womens-clothing/sarees/designer-sarees/,0
Category,/womens-clothing/sarees/wedding-sarees/,Bridal Half Sarees,/womens-clothing/sarees/half-sarees/,0
Category,/womens-clothing/sarees/wedding-sarees/,Bridal Silk Sarees,/womens-clothing/sarees/silk-sarees/,0
Category,/womens-clothing/sarees/bollywood-sarees/,Cotton Printed Sarees,/womens-clothing/sarees/cotton-sarees/,0
Category,/womens-clothing/sarees/bollywood-sarees/,Georgette Sarees,/womens-clothing/sarees/georgette-sarees/,0
Category,/womens-clothing/sarees/bollywood-sarees/,Pattu Half Sarees,/womens-clothing/sarees/silk-sarees/,0
Category,/womens-clothing/sarees/bollywood-sarees/,Latest Pattu Sarees,/womens-clothing/sarees/silk-sarees/,0
Category,/womens-clothing/sarees/half-sarees/,Indian Cotton Sarees,/womens-clothing/sarees/cotton-sarees/,0
Category,/womens-clothing/sarees/half-sarees/,Pure Georgette Sarees,/searchresults?searchby=product,0
Category,/womens-clothing/sarees/half-sarees/,Half Sarees For Wedding,/womens-clothing/sarees/half-sarees/,0
Category,/womens-clothing/sarees/half-sarees/,Latest Silk Sarees,/womens-clothing/sarees/silk-sarees/,0
Category,/womens-clothing/sarees/uppada-sarees/,Summer Cotton Sarees,/womens-clothing/sarees/cotton-sarees/,0
Category,/womens-clothing/sarees/uppada-sarees/,Plain Georgette Sarees,/womens-clothing/sarees/georgette-sarees/,0
Category,/womens-clothing/sarees/uppada-sarees/,Net Half Sarees,/womens-clothing/sarees/half-sarees/,0
Category,/womens-clothing/sarees/uppada-sarees/,Pattu Sarees For Wedding,/womens-clothing/sarees/silk-sarees/,0